Date,County,Total,Serious(Hospitalized),Dead
29.03.2020,Worcester,337,,6
30.03.2020,Barnstable,173,,2
30.03.2020,Berkshire,162,,5
30.03.2020,Bristol,263,,2
30.03.2020,Dukes,1,,0
30.03.2020,Essex,653,,7
30.03.2020,Franklin,49,,2
30.03.2020,Hampden,255,,5
30.03.2020,Hampshire,46,,0
30.03.2020,Middlesex,1141,,9
30.03.2020,Nantucket,5,,0
30.03.2020,Norfolk,628,,11
30.03.2020,Plymouth,380,,0
30.03.2020,Suffolk,1115,,7
30.03.2020,Unknown,491,,0
30.03.2020,Worcester,390,,6
31.03.2020,Barnstable,191,,2
31.03.2020,Berkshire,171,,6
31.03.2020,Bristol,306,,2
31.03.2020,Dukes,1,,0
31.03.2020,Essex,784,,13
31.03.2020,Franklin,61,,4
31.03.2020,Hampden,354,,12
31.03.2020,Hampshire,69,,1
31.03.2020,Middlesex,1340,,18
31.03.2020,Nantucket,5,,0
31.03.2020,Norfolk,738,,13
31.03.2020,Plymouth,459,,2
31.03.2020,Suffolk,1373,,8
31.03.2020,Unknown,335,,0
31.03.2020,Worcester,433,,8
01.04.2020,Barnstable,255,,3
01.04.2020,Berkshire,183,,6
01.04.2020,Bristol,366,,3
01.04.2020,Dukes,1,,0
01.04.2020,Essex,885,,18
01.04.2020,Franklin,72,,7
01.04.2020,Hampden,475,,17
01.04.2020,Hampshire,81,,1
01.04.2020,Middlesex,1582,,21
01.04.2020,Nantucket,5,,0
01.04.2020,Norfolk,829,,16
01.04.2020,Plymouth,561,,5
01.04.2020,Suffolk,1624,,15
01.04.2020,Unknown,335,,0
01.04.2020,Worcester,563,,10
02.04.2020,Barnstable,283,,3
02.04.2020,Berkshire,213,,7
02.04.2020,Bristol,424,,3
02.04.2020,Dukes,5,,0
02.04.2020,Essex,1039,,19
02.04.2020,Franklin,85,,8
02.04.2020,Hampden,546,,20
02.04.2020,Hampshire,102,,2
02.04.2020,Middlesex,1870,,29
02.04.2020,Nantucket,7,,0
02.04.2020,Norfolk,938,,22
02.04.2020,Plymouth,621,,6
02.04.2020,Suffolk,1896,,21
02.04.2020,Unknown,270,,0
02.04.2020,Worcester,667,,14
03.04.2020,Barnstable,314,,6
03.04.2020,Berkshire,240,,7
03.04.2020,Bristol,517,,4
03.04.2020,Dukes,7,,0
03.04.2020,Essex,1238,,24
03.04.2020,Franklin,89,,11
03.04.2020,Hampden,661,,28
03.04.2020,Hampshire,114,,3
03.04.2020,Middlesex,2202,,39
03.04.2020,Nantucket,9,,0
03.04.2020,Norfolk,1045,,25
03.04.2020,Plymouth,745,,7
03.04.2020,Suffolk,2183,,23
03.04.2020,Unknown,213,,0
03.04.2020,Worcester,825,,15
04.04.2020,Barnstable,330,,6
04.04.2020,Berkshire,253,,10
04.04.2020,Bristol,601,,5
04.04.2020,Dukes,7,,0
04.04.2020,Essex,1400,,26
04.04.2020,Franklin,95,,12
04.04.2020,Hampden,733,,35
04.04.2020,Hampshire,125,,3
04.04.2020,Middlesex,2468,,39
04.04.2020,Nantucket,9,,0
04.04.2020,Norfolk,1199,,26
04.04.2020,Plymouth,898,,8
04.04.2020,Suffolk,2429,,28
04.04.2020,Unknown,274,,0
04.04.2020,Worcester,915,,18
05.04.2020,Barnstable,347,,6
05.04.2020,Berkshire,258,,13
05.04.2020,Bristol,659,,8
05.04.2020,Dukes,8,,0
05.04.2020,Essex,1506,,28
05.04.2020,Franklin,100,,12
05.04.2020,Hampden,768,,35
05.04.2020,Hampshire,128,,3
05.04.2020,Middlesex,2632,,42
05.04.2020,Nantucket,9,,0
05.04.2020,Norfolk,1271,,27
05.04.2020,Plymouth,963,,10
05.04.2020,Suffolk,2658,,29
05.04.2020,Unknown,215,,0
05.04.2020,Worcester,978,,18
06.04.2020,Barnstable,383,,7
06.04.2020,Berkshire,268,,13
06.04.2020,Bristol,722,,8
06.04.2020,Dukes,8,,0
